;0
Banana;4381
Bag of Organic Bananas;3525
Organic Strawberries;2348
Organic Baby Spinach;2221
Organic Hass Avocado;1969
Organic Avocado;1612
Large Lemon;1369
Strawberries;1335
Organic Raspberries;1283
Limes;1259
Organic Whole Milk;1217
Organic Garlic;1008
Organic Yellow Onion;999
Cucumber Kirby;910
Organic Blueberries;897
Organic Zucchini;895
Organic Lemon;841
Organic Fuji Apple;820
Apple Honeycrisp Organic;785
Honeycrisp Apple;770
Organic Grape Tomatoes;739
Seedless Red Grapes;737
Organic Half & Half;727
Organic Baby Carrots;727
Organic Gala Apples;718
Organic Cucumber;709
Sparkling Water Grapefruit;707
Organic Large Extra Fancy Fuji Apple;686
Original Hummus;672
Carrots;665
Organic Baby Arugula;662
Yellow Onions;649
Half & Half;640
Organic Small Bunch Celery;617
Fresh Cauliflower;615
Organic Cilantro;613
Michigan Organic Kale;611
Organic Blackberries;595
Organic Tomato Cluster;586
Asparagus;586
Organic Whole String Cheese;564
100% Whole Wheat Bread;560
Organic Granny Smith Apple;548
Blueberries;545
Organic Red Onion;543
Organic Red Bell Pepper;539
Organic Italian Parsley Bunch;534
Spring Water;526
Organic Garnet Sweet Potato (Yam);520
Raspberries;512
Red Peppers;502
Organic Peeled Whole Baby Carrots;492
Boneless Skinless Chicken Breasts;489
Red Vine Tomato;481
Organic Ginger Root;479
Green Bell Pepper;476
Extra Virgin Olive Oil;473
Organic Unsweetened Almond Milk;467
Organic D'Anjou Pears;462
Organic Kiwi;459
Small Hass Avocado;458
Hass Avocados;451
Organic Reduced Fat 2% Milk;445
Grated Parmesan;431
Unsweetened Almondmilk;427
Bunched Cilantro;420
